date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:13	13248/13248	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-33c0%22	http://docs.donkeycar.com/parts/stop_sign_detection/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/stop_sign_detection/index.html	(from http://docs.donkeycar.com/)
09:48:14	22203/22203	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-56bb%22	http://docs.donkeycar.com/utility/donkey/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/utility/donkey/index.html	(from http://docs.donkeycar.com/)
09:48:15	12899/12899	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3263%22	http://docs.donkeycar.com/dev_guide/contribute/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/dev_guide/contribute/index.html	(from http://docs.donkeycar.com/)
09:48:16	10679/10679	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-29b7%22	http://docs.donkeycar.com/dev_guide/tests/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/dev_guide/tests/index.html	(from http://docs.donkeycar.com/)
09:48:26	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-12d68%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.woff2?af7ae505a9eed503f8b8e6982036873e	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfontbb99.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:48:26	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22637696c1-2876e%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.eot?674f50d287a8c48dc19ba404d20fe713	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfont2967.eot	(from http://docs.donkeycar.com/css/theme.css)
09:48:27	24595/24595	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-6013%22	http://docs.donkeycar.com/dev_guide/model/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/dev_guide/model/index.html	(from http://docs.donkeycar.com/)
09:48:27	18454/18454	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-4816%22	http://docs.donkeycar.com/cars/supported_cars/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/cars/supported_cars/index.html	(from http://docs.donkeycar.com/)
09:48:27	23703/23703	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-5c97%22	http://docs.donkeycar.com/cars/roll_your_own/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/cars/roll_your_own/index.html	(from http://docs.donkeycar.com/)
09:48:28	14585/14585	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-38f9%22	http://docs.donkeycar.com/support/faq/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/support/faq/index.html	(from http://docs.donkeycar.com/)
09:48:30	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22637696c1-6c7db%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.svg?912ec66d7572ff821749319396470bde	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfont2f98.svg	(from http://docs.donkeycar.com/css/theme.css)
09:48:30	17630/17630	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-44de%22	http://docs.donkeycar.com/support/legacy/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/support/legacy/index.html	(from http://docs.donkeycar.com/)
09:48:30	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22637696c1-2876e%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.eot?674f50d287a8c48dc19ba404d20fe713?	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfontfb78.eot	(from http://docs.donkeycar.com/css/theme.css)
09:48:33	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22637696c1-17ee8%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.woff?fee66e712a8a08eef5805a46892932ad	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfontce29.woff	(from http://docs.donkeycar.com/css/theme.css)
09:48:44	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%22637696c1-286ac%22	http://docs.donkeycar.com/css/fonts/fontawesome-webfont.ttf?b06871f281fee6b241d60582ae9369b9	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/fontawesome-webfont1bb7.ttf	(from http://docs.donkeycar.com/css/theme.css)
09:48:59	182708/182708	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-2c9b4%22	http://docs.donkeycar.com/css/fonts/lato-normal.woff2?bd03a2cc277bbbc338d464e679fe9942	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-normal96f5.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:49:03	184912/184912	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-2d250%22	http://docs.donkeycar.com/css/fonts/lato-bold.woff2?cccb897485813c7c256901dbca54ecf2	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-bold9f03.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:49:20	309192/309192	---M--	200	added ('OK')	font/woff	etag:%22637696c1-4b7c8%22	http://docs.donkeycar.com/css/fonts/lato-normal.woff?27bd77b9162d388cb8d4c4217c7c5e2a	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-normal86b9.woff	(from http://docs.donkeycar.com/css/theme.css)
09:49:31	193308/193308	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-2f31c%22	http://docs.donkeycar.com/css/fonts/lato-bold-italic.woff2?0b6bb6725576b072c5d0b02ecdd1900d	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-bold-italic01fb.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:49:34	309728/309728	---M--	200	added ('OK')	font/woff	etag:%22637696c1-4b9e0%22	http://docs.donkeycar.com/css/fonts/lato-bold.woff?d878b6c29b10beca227e9eef4246111b	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-bolda132.woff	(from http://docs.donkeycar.com/css/theme.css)
09:49:46	66444/66444	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-1038c%22	http://docs.donkeycar.com/css/fonts/Roboto-Slab-Regular.woff2?7abf5b8d04d26a2cafea937019bca958	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/Roboto-Slab-Regular2a4d.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:49:52	195704/195704	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-2fc78%22	http://docs.donkeycar.com/css/fonts/lato-normal-italic.woff2?4eb103b4d12be57cb1d040ed5e162e9d	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-normal-italicd12e.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:49:55	323344/323344	---M--	200	added ('OK')	font/woff	etag:%22637696c1-4ef10%22	http://docs.donkeycar.com/css/fonts/lato-bold-italic.woff?9c7e4e9eb485b4a121c760e61bc3707c	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-bold-italic08c2.woff	(from http://docs.donkeycar.com/css/theme.css)
09:50:00	86288/86288	---M--	200	added ('OK')	font/woff	etag:%22637696c1-15110%22	http://docs.donkeycar.com/css/fonts/Roboto-Slab-Regular.woff?c1be9284088d487c5e3ff0a10a92e58c	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/Roboto-Slab-Regular4c99.woff	(from http://docs.donkeycar.com/css/theme.css)
09:50:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:02%20GMT	http://docs.donkeycar.com/guide/build_hardware	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/build_hardware	(from http://docs.donkeycar.com/.)
09:50:01	0/-1	---M--	301	error ('')			http://docs.donkeycar.com/guide/install_software	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/install_software.24.delayed	(from http://docs.donkeycar.com/.)
09:50:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:03%20GMT	http://docs.donkeycar.com/guide/create_application	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/create_application	(from http://docs.donkeycar.com/.)
09:50:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:03%20GMT	http://docs.donkeycar.com/guide/calibrate	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/calibrate	(from http://docs.donkeycar.com/.)
09:50:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:03%20GMT	http://docs.donkeycar.com/guide/get_driving	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/get_driving	(from http://docs.donkeycar.com/.)
09:50:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:03%20GMT	http://docs.donkeycar.com/guide/train_autopilot	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/train_autopilot	(from http://docs.donkeycar.com/.)
09:50:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:04%20GMT	http://docs.donkeycar.com/guide/deep_learning/simulator	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/deep_learning/simulator	(from http://docs.donkeycar.com/.)
09:50:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:50:04%20GMT	http://docs.donkeycar.com/cars/supported_cars	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/cars/supported_cars	(from http://docs.donkeycar.com/guide/build_hardware/)
09:50:02	67312/67312	---M--	200	added ('OK')	font/woff2	etag:%22637696c1-106f0%22	http://docs.donkeycar.com/css/fonts/Roboto-Slab-Bold.woff2?9984f4a9bda09be08e83f2506954adbe	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/Roboto-Slab-Bold1abf.woff2	(from http://docs.donkeycar.com/css/theme.css)
09:50:09	87624/87624	---M--	200	added ('OK')	font/woff	etag:%22637696c1-15648%22	http://docs.donkeycar.com/css/fonts/Roboto-Slab-Bold.woff?bed5564a116b05148e3b3bea6fb1162a	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/Roboto-Slab-Boldff6a.woff	(from http://docs.donkeycar.com/css/theme.css)
09:50:15	36871/36871	---M--	200	added ('OK')	image/jpeg	etag:%22637696c1-9007%22	http://docs.donkeycar.com/assets/Jetson_Adapter.jpg	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/Jetson_Adapter.jpg	(from http://docs.donkeycar.com/guide/build_hardware/)
09:50:23	328412/328412	---M--	200	added ('OK')	font/woff	etag:%22637696c1-502dc%22	http://docs.donkeycar.com/css/fonts/lato-normal-italic.woff?f28f2d6482446544ef1ea1ccc6dd5892	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/fonts/lato-normal-italic9875.woff	(from http://docs.donkeycar.com/css/theme.css)
09:50:54	325148/325148	---M--	200	added ('OK')	image/png	etag:%22637696c1-4f61c%22	http://docs.donkeycar.com/assets/build_hardware/donkey.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/donkey.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:52:05	431191/431191	---M--	200	added ('OK')	image/jpeg	etag:%22637696c1-69457%22	http://docs.donkeycar.com/assets/Sombrero_assembled.jpg	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/Sombrero_assembled.jpg	(from http://docs.donkeycar.com/guide/build_hardware/)
09:52:21	97852/97852	---M--	200	added ('OK')	image/png	etag:%22637696c1-17e3c%22	http://docs.donkeycar.com/assets/build_hardware/traxxas.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/traxxas.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:52:45	141662/141662	---M--	200	added ('OK')	image/png	etag:%22637696c1-2295e%22	http://docs.donkeycar.com/assets/build_hardware/2a.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/2a.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:53:05	120130/120130	---M--	200	added ('OK')	image/png	etag:%22637696c1-1d542%22	http://docs.donkeycar.com/assets/build_hardware/2b.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/2b.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:54:07	376748/376748	---M--	200	added ('OK')	image/png	etag:%22637696c1-5bfac%22	http://docs.donkeycar.com/assets/build_hardware/4a.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/4a.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:55:02	336522/336522	---M--	200	added ('OK')	image/png	etag:%22637696c1-5228a%22	http://docs.donkeycar.com/assets/build_hardware/4b.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/4b.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:55:51	295959/295959	---M--	200	added ('OK')	image/png	etag:%22637696c1-48417%22	http://docs.donkeycar.com/assets/build_hardware/5ab.png	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/5ab.png	(from http://docs.donkeycar.com/guide/build_hardware/)
09:56:05	80752/80752	---M--	200	added ('OK')	image/jpeg	etag:%22637696c1-13b70%22	http://docs.donkeycar.com/assets/build_hardware/assemble_camera.jpg	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/assets/build_hardware/assemble_camera.jpg	(from http://docs.donkeycar.com/guide/build_hardware/)
